品名,地區,判定係數
筍片,台北二,0.0
菊芋,台北一,-inf
草石蠶,台北一,0.0
黃金果,板橋區,0.0
酪梨,板橋區,0.0
珍珠菜,台北二,0.9618410238346836
金針花,板橋區,0.0
西施柚,板橋區,0.0
羅勒,板橋區,
松茸,板橋區,0.0
荸薺,板橋區,0.0
西瓜,板橋區,0.9726074280643935
石蓮花,三重區,0.0
柚子,三重區,2.220446049250313e-16
菾菜,三重區,0.0
黑甜仔菜,三重區,0.0
金絲菇,三重區,0.0
秀珍菇,三重區,0.0
杏鮑菇,三重區,0.0
鴻禧菇,三重區,0.9771099533798708
珊瑚菇,三重區,0.0
猴頭菇,三重區,
其他菇類,三重區,0.0
梨,三重區,1.1102230246251565e-16
冬瓜,永靖鄉,0.0
蕹菜,永靖鄉,0.0
芥藍菜,永靖鄉,0.0
玉米,溪湖鎮,0.0
甘薯,溪湖鎮,0.0
椰子,嘉義市,0.9883954446082668
棗子,嘉義市,0.0
釋迦,嘉義市,1.1102230246251565e-16
百香果,嘉義市,0.0
小番茄,嘉義市,0.9591736744775428
火龍果,嘉義市,0.0
櫻桃,嘉義市,0.0
其他,嘉義市,0.9994939456714237
香蕉,嘉義市,0.0
鳳梨,嘉義市,0.0
椪柑,嘉義市,0.0
茂谷柑,嘉義市,0.0
桶柑,嘉義市,0.0
海梨,嘉義市,
甜橙,嘉義市,0.9616016046497773
雜柑,嘉義市,0.0
奇異果,嘉義市,0.0
葡萄柚,嘉義市,0.0
木瓜,嘉義市,0.0
楊桃,嘉義市,0.0
梨,嘉義市,0.0
番石榴,嘉義市,0.9673892192595435
蓮霧,嘉義市,0.0
葡萄,嘉義市,0.0
西瓜,嘉義市,0.0
洋香瓜,嘉義市,0.9852086740038574
蘋果,嘉義市,0.9995828212022763
柿子,嘉義市,0.0
荔枝,台北一,0.0
西施柚,台北二,0.0
桃子,台北二,0.0
甜桃,台北一,0.0
桃子,台北一,0.0
香瓜梨,板橋區,0.0
藤川七,板橋區,1.1102230246251565e-16
芒果,板橋區,0.0
冬瓜,三重區,0.8571428571428572
西施柚,三重區,0.0
皇宮菜,三重區,0.9578363725557959
甜橙,東勢鎮,
桃子,東勢鎮,0.0
花胡瓜,溪湖鎮,0.0
香瓜梨,台北二,0.0
筍絲,台北二,0.0
甜桃,台北二,-2.220446049250313e-16
香瓜梨,台北一,0.0
枇杷,板橋區,0.0
柳松菇,板橋區,0.0
醃瓜,板橋區,0.0
金針筍,板橋區,0.9833377717048566
柿餅,板橋區,
虎頭柑,三重區,-inf
香瓜梨,三重區,0.0
筍乾,三重區,
其他,東勢鎮,0.0
枇杷,東勢鎮,0.0
蛋黃果,嘉義市,0.0
虎頭柑,台北二,
醃瓜,台北二,0.0
虎頭柑,台北一,
蠶豆,台北一,0.0
西洋梨,台北二,0.9375299494019058
虎頭柑,板橋區,
豔陽柑,台北一,0.0
百果,台北一,
栗子,台北二,0.0
甜瓜,板橋區,0.0
花椰菜,花蓮市,-inf
胡瓜,花蓮市,-2.220446049250313e-16
花胡瓜,花蓮市,0.0
冬瓜,花蓮市,0.0
絲瓜,花蓮市,0.0
苦瓜,花蓮市,0.0
扁蒲,花蓮市,1.1102230246251565e-16
茄子,花蓮市,0.0
蕃茄,花蓮市,0.0
甜椒,花蓮市,0.0
敏豆,花蓮市,0.0
青花苔,花蓮市,
南瓜,花蓮市,0.0
隼人瓜,花蓮市,2.220446049250313e-16
辣椒,花蓮市,1.1102230246251565e-16
玉米,花蓮市,0.0
甘藍,花蓮市,0.0
包心白菜,花蓮市,0.0
萵苣菜,花蓮市,0.0
芥菜,花蓮市,0.0
芫荽,花蓮市,0.0
紅鳳菜,花蓮市,0.0
蕨菜,花蓮市,0.0
其他蔬菜,花蓮市,0.0
蘿蔔,花蓮市,0.0
青蔥,花蓮市,0.0
韭菜,花蓮市,1.1102230246251565e-16
大蒜,花蓮市,0.0
萵苣莖,花蓮市,
芋,花蓮市,0.0
薑,花蓮市,-2.220446049250313e-16
球莖甘藍,花蓮市,-inf
胡瓜,溪湖鎮,0.0
樊花,台北二,0.0
樊花,台北一,0.0
李,台北二,0.8753632634531767
椰子,豐原區,-inf
百香果,豐原區,
小番茄,豐原區,
火龍果,豐原區,0.0
櫻桃,豐原區,
香蕉,豐原區,0.0
鳳梨,豐原區,0.0
椪柑,豐原區,
茂谷柑,豐原區,
桶柑,豐原區,
甜橙,豐原區,0.0
雜柑,豐原區,0.0
花椰菜,豐原區,0.0
胡瓜,豐原區,0.0
花胡瓜,豐原區,0.0
絲瓜,豐原區,0.0
苦瓜,豐原區,0.0
扁蒲,豐原區,-2.220446049250313e-16
茄子,豐原區,0.0
蕃茄,豐原區,-2.220446049250313e-16
甜椒,豐原區,-2.220446049250313e-16
菜豆,豐原區,0.0
敏豆,豐原區,0.0
青花苔,豐原區,0.0
南瓜,豐原區,0.0
隼人瓜,豐原區,-inf
辣椒,豐原區,0.0
玉米,豐原區,0.0
落花生,豐原區,0.0
奇異果,豐原區,0.0
木瓜,豐原區,0.0
甘藍,豐原區,0.0
小白菜,豐原區,2.220446049250313e-16
包心白菜,豐原區,-2.220446049250313e-16
青江白菜,豐原區,2.220446049250313e-16
蕹菜,豐原區,0.0
芹菜,豐原區,0.0
菠菜,豐原區,0.0
萵苣菜,豐原區,0.0
芥藍菜,豐原區,0.0
茼蒿,豐原區,
莧菜,豐原區,0.0
油菜,豐原區,0.0
甘藷葉,豐原區,0.0
茴香,豐原區,
海菜,豐原區,
濕木耳,豐原區,0.0
溼香菇,豐原區,0.0
金絲菇,豐原區,0.0
杏鮑菇,豐原區,0.0
李,豐原區,0.0
梨,豐原區,0.0
其他蔬菜,豐原區,0.0
番石榴,豐原區,0.0
蓮霧,豐原區,
葡萄,豐原區,0.0
蘿蔔,豐原區,-2.220446049250313e-16
胡蘿蔔,豐原區,0.0
馬鈴薯,豐原區,0.0
洋蔥,豐原區,0.0
青蔥,豐原區,2.220446049250313e-16
韭菜,豐原區,0.0
大蒜,豐原區,1.1102230246251565e-16
芋,豐原區,0.0
甘薯,豐原區,0.0
薑,豐原區,0.0
球莖甘藍,豐原區,0.0
洋香瓜,豐原區,0.0
蘋果,豐原區,1.1102230246251565e-16
花椰菜,南投市,0.0
花胡瓜,南投市,0.0
絲瓜,南投市,0.0
苦瓜,南投市,0.0
扁蒲,南投市,
茄子,南投市,0.0
蕃茄,南投市,0.0
甘藍,南投市,0.0
包心白菜,南投市,0.0
菠菜,南投市,
