查詢交易日期,查詢市場,日期,市場,產品,上價,中價,下價,平均價(元/公斤),跟前一交易日比較%,交易量(公斤),跟前一交易日比較%
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,51 百香果 改良種 ,131.4,50.8,16.1,60.0, - 13,"1,288", - 45
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,70 小番茄 其他 ,33.0,31.9,30.0,31.7, - 10,70, - 50
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,72 小番茄 聖女 ,58.5,42.9,24.1,42.2, + 25,"1,690", - 15
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,74 小番茄 玉女 ,191.2,126.2,43.8,122.7, -  0,"1,008", -  2
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,811 火龍果 白肉 ,77.5,53.4,37.5,55.1, -  8,828, - 58
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,812 火龍果 紅肉 ,41.5,29.2,19.3,29.6, -  7,"13,924", - 31
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,839 櫻桃 進口 ,381.2,266.1,250.0,285.9, -  7,439, - 45
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,859 榴槤 進口 ,111.8,72.2,67.2,79.2, - 13,"2,654", - 42
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,91 其他  ,100.0,100.0,100.0,100.0, - 43,12, - 78
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,919 其他 進口 ,103.0,70.8,66.7,76.4, - 90,656, +999
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,A0 香蕉 其他 ,24.4,20.8,16.4,20.6, - 13,469, - 24
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,A1 香蕉  ,29.7,21.6,13.4,21.6, - 15,"13,465", -  3
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.3,26.9,15.2,29.0, - 20,"2,215", - 43
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,B0 鳳梨 其他 ,15.6,11.9,7.0,11.7, - 27,325, - 72
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.1,17.9,8.9,18.6, -  2,"24,511", - 14
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,B6 鳳梨 甜蜜蜜 ,25.1,16.0,13.0,17.2, -  7,"5,338", -  8
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,C9 椪柑 進口 ,"1,428.3",482.5,466.7,668.5, + 61,73, + 28
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,E9 甜橙 進口 ,98.0,42.5,26.7,50.4, + 43,"1,620", - 77
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,F1 雜柑 檸檬 ,29.3,18.8,10.0,19.1, +  2,"2,433", -  4
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,F4 雜柑 桔子 ,48.5,31.1,15.0,31.4, +  7,327, - 24
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,F5 雜柑 無子檸檬 ,32.3,24.3,14.7,24.0, -  1,"3,445", + 13
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,G2 黃金果  ,125.2,92.8,70.0,94.8, - 20,118, -  6
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,G3 酪梨  ,100.9,84.3,60.2,82.8, -  5,"2,162", - 21
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,G49 奇異果 進口 ,87.0,41.1,21.5,46.4, - 21,840, - 89
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,G9 波蘿蜜  ,30.0,20.6,9.9,20.3, - 19,239, - 45
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,H49 葡萄柚 紅肉進口 ,54.6,31.1,31.1,35.8,  -  ,500,  -  
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,H5 葡萄柚 白肉 ,25.0,22.1,15.0,21.2, +  6,144, - 11
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,I1 木瓜 網室紅肉 ,38.5,28.7,18.9,28.7, +  1,"11,116", - 23
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,I3 木瓜 日昇種 ,30.0,30.0,30.0,30.0, - 56,72, - 85
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,I4 木瓜 青木瓜 ,20.8,17.9,13.5,17.6, - 11,"1,319", - 13
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,J0 荔枝 其他 ,94.7,68.8,47.2,69.6, -  8,540, + 23
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,J1 荔枝 玉荷包 ,116.9,79.7,59.0,83.0, -  8,"8,558", -  4
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,J2 荔枝 黑葉 ,60.0,44.4,26.4,43.9, -  3,"3,121", - 13
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,J3 荔枝 糯米 ,81.8,41.0,40.0,48.9, - 39,84, +180
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,J4 荔枝 竹葉黑 ,52.9,44.8,33.3,44.1, -  4,"2,715", - 10
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,N3 李 紅肉李 ,85.6,42.5,14.0,45.4, + 29,676, +  5
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,N9 李 進口 ,29.6,29.6,29.6,29.6, - 11,540, +125
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,O0 梨 其他 ,33.6,26.8,15.4,25.9, -  8,502, - 19
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,O2 梨 秋水梨 ,73.4,61.1,40.4,59.4, - 12,"2,090", - 44
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,O5 梨 豐水梨 ,107.4,61.2,31.8,64.5, +  1,"6,932", - 15
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,O8 梨 4029梨 ,74.8,71.3,55.4,68.8, +  9,687, - 11
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/10,104 台北二  ,O99 梨 西洋梨進口 ,160.0,146.0,106.7,141.0, + 84,350, - 78
